zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"","CustomLabel.CEC_Email_Exception_Validation","One or more email addresses in the To, CC and/or BCC fields are blocked. Please remove the following email address(es):","","","","","","","","","","","","","","","CustomLabel$CEC_Email_Exception_Validation","Will be Transalted","No"
"","CustomLabel.CEC_Enter_Reason_For_Escalating_The_case","Enter reason for Escalating the Case","","","","","","","","","","","","","","","CustomLabel$CEC_Enter_Reason_For_Escalating_The_case","Will be Transalted","No"
"","CustomLabel.CEC_Error_Complete_this_field","Complete this field.","","","","","","","","","","","","","","","CustomLabel$CEC_Error_Complete_this_field","Will be Transalted","No"
"","CustomLabel.CEC_Escalate_Case_Allowed_Profiles","UPS CEC Specialized User $$ UPS CEC Manager $$ UPS CEC Manager - Europe $$ UPS CEC Knowledge $$ System Administrator $$ UPS CEC Admin $$ UPS CEC CCR","","","","","","","","","","","","","","","CustomLabel$CEC_Escalate_Case_Allowed_Profiles","Will be Transalted","No"
"","CustomLabel.CEC_Final_Resolution_Message_Close_the_AR_Case","The case has been successfully transferred to another Team Member who will reach out to the customer","","","","","","","","","","","","","","","CustomLabel$CEC_Final_Resolution_Message_Close_the_AR_Case","Will be Transalted","No"
"","CustomLabel.CEC_FirstName","First Name","","","","","","","","","","","","","","","CustomLabel$CEC_FirstName","Will be Transalted","No"
"","CustomLabel.CEC_Form_Erros_Msg","Errors were found on this form","","","","","","","","","","","","","","","CustomLabel$CEC_Form_Erros_Msg","Will be Transalted","No"
"","CustomLabel.CEC_GBSTowerEditRestriction","You do not belong to the Knowledge Group selected for this article. Please select a Knowledge Group that is valid for you or ask your Knowledge Hierarchy Manager for assistance.","","","","","","","","","","","","","","","CustomLabel$CEC_GBSTowerEditRestriction","Will be Transalted","No"
"","CustomLabel.CEC_GDOL_Appid","CEC","","","","","","","","","","","","","","","CustomLabel$CEC_GDOL_Appid","Will be Transalted","No"
"","CustomLabel.CEC_GDOL_Autosubmit","1","","","","","","","","","","","","","","","CustomLabel$CEC_GDOL_Autosubmit","Will be Transalted","No"
"","CustomLabel.CEC_GDOL_Bingkey","AuOcqlJTfNzQai_qQg4kS223A_2kHcrgmDo-GOAYSRIweYRm6inoFOAdc95Zehq2","","","","","","","","","","","","","","","CustomLabel$CEC_GDOL_Bingkey","Will be Transalted","No"
"","CustomLabel.CEC_GDOL_URL","https://www.ups.com/dropoff/?","","","","","","","","","","","","","","","CustomLabel$CEC_GDOL_URL","Will be Transalted","No"
"","CustomLabel.CEC_GuidedFlow_Heading","Casey's Corner","","","","","","","","","","","","","","","CustomLabel$CEC_GuidedFlow_Heading","Will be Transalted","No"
"","CustomLabel.CEC_GuidedFlow_HelpMessage","Guided help is available","","","","","","","","","","","","","","","CustomLabel$CEC_GuidedFlow_HelpMessage","Will be Transalted","No"
"","CustomLabel.CEC_IP_URL","https://wwwapps.ups.com/pickup/schedule?","","","","","","","","","","","","","","","CustomLabel$CEC_IP_URL","Will be Transalted","No"
"","CustomLabel.CEC_IVP_Name","IVP","","","","","","","","","","","","","","","CustomLabel$CEC_IVP_Name","Will be Transalted","No"
"","CustomLabel.CEC_IVP_Trackable_Shipment_Identifier_Type","Tracking Number","","","","","","","","","","","","","","","CustomLabel$CEC_IVP_Trackable_Shipment_Identifier_Type","Will be Transalted","No"
"","CustomLabel.CEC_Incident_Location_Contact","Incident Location Contact","","","","","","","","","","","","","","","CustomLabel$CEC_Incident_Location_Contact","Will be Transalted","No"
"","CustomLabel.CEC_Insufficient_Access_Operation","You don't have sufficient access to do this operation.","","","","","","","","","","","","","","","CustomLabel$CEC_Insufficient_Access_Operation","Will be Transalted","No"
"","CustomLabel.CEC_Invalid","Invalid","","","","","","","","","","","","","","","CustomLabel$CEC_Invalid","Will be Transalted","No"
"","CustomLabel.CEC_Invalid_Format","You have entered an invalid format.","","","","","","","","","","","","","","","CustomLabel$CEC_Invalid_Format","Will be Transalted","No"
"","CustomLabel.CEC_KnowledgeApproval_MultiRoleError","You are assigned to both Knowledge Manager and/or Process Owner groups. You cannot submit an article for review.","","","","","","","","","","","","","","","CustomLabel$CEC_KnowledgeApproval_MultiRoleError","Will be Transalted","No"
"","CustomLabel.CEC_KnowledgeApproval_NoRoleError","You are not assigned to any Knowledge Manager and/or Process Owner groups. You cannot submit an article for review","","","","","","","","","","","","","","","CustomLabel$CEC_KnowledgeApproval_NoRoleError","Will be Transalted","No"
"","CustomLabel.CEC_KnowledgeArticleTypes","%LaunchPage%ServiceEssentials%Walkthrough%Resolution%Basics%Resource%Assistance Required Case Instructions%Procedure%","","","","","","","","","","","","","","","CustomLabel$CEC_KnowledgeArticleTypes","Will be Transalted","No"
"","CustomLabel.CEC_KnowledgeBusinessHours","CEC US Knowledge Approval Reminder","","","","","","","","","","","","","","","CustomLabel$CEC_KnowledgeBusinessHours","Will be Transalted","No"
"","CustomLabel.CEC_Knowledge_Manager_Approver_Group_Name","CEC KBA Knowledge Managers","","","","","","","","","","","","","","","CustomLabel$CEC_Knowledge_Manager_Approver_Group_Name","Will be Transalted","No"
"","CustomLabel.CEC_LINK_IRIS","https://iris.inside.ups.com/apps/login.aspx","","","","","","","","","","","","","","","CustomLabel$CEC_LINK_IRIS","Will be Transalted","No"
"","CustomLabel.CEC_Label_Change_Priority","Change Priority","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Change_Priority","Will be Transalted","No"
"","CustomLabel.CEC_Label_Close_Case","Close the Case","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Close_Case","Will be Transalted","No"
"","CustomLabel.CEC_Label_Profile_Name_CEC_Admin","UPS CEC Admin","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Profile_Name_CEC_Admin","Will be Transalted","No"
"","CustomLabel.CEC_Label_Profile_Name_Sys_Admin","UPS CEC Sys Admin","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Profile_Name_Sys_Admin","Will be Transalted","No"
"","CustomLabel.CEC_Label_Profile_Name_UPS_CEC_Knowledge","UPS CEC Knowledge","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Profile_Name_UPS_CEC_Knowledge","Will be Transalted","No"
"","CustomLabel.CEC_Label_Profile_Name_UPS_CEC_Manager","UPS CEC Manager","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Profile_Name_UPS_CEC_Manager","Will be Transalted","No"
"","CustomLabel.CEC_Label_Profile_Name_UPS_CEC_Manager_Europe","UPS CEC Manager - Europe","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Profile_Name_UPS_CEC_Manager_Europe","Will be Transalted","No"
"","CustomLabel.CEC_Label_Submit_the_Case","Submit the Case","","","","","","","","","","","","","","","CustomLabel$CEC_Label_Submit_the_Case","Will be Transalted","No"
"","CustomLabel.CEC_LastName","Last Name","","","","","","","","","","","","","","","CustomLabel$CEC_LastName","Will be Transalted","No"
"","CustomLabel.CEC_LinkedEntityId","0050t000000i3TF","","","","","","","","","","","","","","","CustomLabel$CEC_LinkedEntityId","Will be Transalted","No"
"","CustomLabel.CEC_LockWaitMessage","The system is currently updating the case in the background and has temporarily locked the record. Please try again in 5-10 seconds.","","","","","","","","","","","","","","","CustomLabel$CEC_LockWaitMessage","Will be Transalted","No"
"","CustomLabel.CEC_Mail_Disclaimer","CAUTION! This email originated outside of the organization. Please do not open attachments or click links from an unknown or suspicious origin.\n\n======================================================================","","","","","","","","","","","","","","","CustomLabel$CEC_Mail_Disclaimer","Will be Transalted","No"
"","CustomLabel.CEC_Message","Message","","","","","","","","","","","","","","","CustomLabel$CEC_Message","Will be Transalted","No"
"","CustomLabel.CEC_Milestones_Not_Expired","This case has active milestones. Second Request can't be created for this Case record.","","","","","","","","","","","","","","","CustomLabel$CEC_Milestones_Not_Expired","Will be Transalted","No"
"","CustomLabel.CEC_Min_3_Characters_Message","Please enter more than 2 characters.","","","","","","","","","","","","","","","CustomLabel$CEC_Min_3_Characters_Message","Will be Transalted","No"
"","CustomLabel.CEC_NoCallBackRequiredMessage","IMPORTANT - Customer contact is not required for this case.","","","","","","","","","","","","","","","CustomLabel$CEC_NoCallBackRequiredMessage","Will be Transalted","No"
"","CustomLabel.CEC_No_Active_Notifications","No Active Notifications","","","","","","","","","","","","","","","CustomLabel$CEC_No_Active_Notifications","Will be Transalted","No"
"","CustomLabel.CEC_No_Callback_Required","No Contact Required","","","","","","","","","","","","","","","CustomLabel$CEC_No_Callback_Required","Will be Transalted","No"
"","CustomLabel.CEC_No_Close_On_Email","To send a reply on an Assistance Required Case, please select the Send and Do Not Close option.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Close_On_Email","Will be Transalted","No"
"","CustomLabel.CEC_No_Identifier_Message","No Shipment Identifiers have been added to this Case.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Identifier_Message","Will be Transalted","No"
"","CustomLabel.CEC_No_Reply_Addresses",",no_reply@ups.com,noreply@ups.com,donotreply@ups.com,brief-no-reply@ups.com,do_not_reply@ups.com,donotreply@zalando.it,nateam@ups.com,pcateam1001@ups.com,","","","","","","","","","","","","","","","CustomLabel$CEC_No_Reply_Addresses","Will be Transalted","No"
"","CustomLabel.CEC_No_Result_3rdParty","No results found. Please search again or create a 3rd Party Auditor.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Result_3rdParty","Will be Transalted","No"
"","CustomLabel.CEC_No_Result_Consumer","No results found. Please search again or create a Consumer Contact.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Result_Consumer","Will be Transalted","No"
"","CustomLabel.CEC_No_Result_NonAccountBusiness","No results found. Please search again or create a Non-Account Business.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Result_NonAccountBusiness","Will be Transalted","No"
"","CustomLabel.CEC_No_Result_UPSAccount","No results found. Please search again or create either a Consumer Contact or a Non-Account Business.","","","","","","","","","","","","","","","CustomLabel$CEC_No_Result_UPSAccount","Will be Transalted","No"
"","CustomLabel.CEC_None_Found_Message","None Found","","","","","","","","","","","","","","","CustomLabel$CEC_None_Found_Message","Will be Transalted","No"
"","CustomLabel.CEC_None_related_Case_Message2","No Cases related to {0} have been identified","","","","","","","","","","","","","","","CustomLabel$CEC_None_related_Case_Message2","Will be Transalted","No"
"","CustomLabel.CEC_Not_applicable_Recordtype","This function is not allowed on this type of case.","","","","","","","","","","","","","","","CustomLabel$CEC_Not_applicable_Recordtype","Will be Transalted","No"
"","CustomLabel.CEC_NotesAndAttachmentClosedCaseError","Operation Can not be performed.","","","","","","","","","","","","","","","CustomLabel$CEC_NotesAndAttachmentClosedCaseError","Will be Transalted","No"
"","CustomLabel.CEC_OMS_API_Client_Id","c0f73f55-5d84-4eb5-b145-c84c5057d5dd","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_API_Client_Id","Will be Transalted","No"
"","CustomLabel.CEC_OMS_API_Client_Secret","M7aJ0cV8uC7jK0mQ5mP4vG2eX8tJ8vM1rL2iH5nG7dC4pK1uL6","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_API_Client_Secret","Will be Transalted","No"
"","CustomLabel.CEC_OMS_Error_Message","Unable to fetch the data.","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_Error_Message","Will be Transalted","No"
"","CustomLabel.CEC_OMS_ON_OFF_Switch","ON","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_ON_OFF_Switch","Will be Transalted","No"
"","CustomLabel.CEC_OMS_SortField_Code","01","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_SortField_Code","Will be Transalted","No"
"","CustomLabel.CEC_OMS_TokenGen_Client_Id","10bf6b17-b821-4bbf-af42-70da64bc849b","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_TokenGen_Client_Id","Will be Transalted","No"
"","CustomLabel.CEC_OMS_TokenGen_Client_Secret","vA2qV3xK8jP5lU1lS2qI5qQ0oV0oH2uA6fX1bN2gK0wL8jF7fP","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_TokenGen_Client_Secret","Will be Transalted","No"
"","CustomLabel.CEC_OMS_URL_AddrSearch","https://oms-cec.ups.com/apis/list/order/detail/address","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_URL_AddrSearch","Will be Transalted","No"
"","CustomLabel.CEC_OMS_URL_PRNSearch","https://oms-cec.ups.com/apis/list/order/detail/orderNo","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_URL_PRNSearch","Will be Transalted","No"
"","CustomLabel.CEC_OMS_URL_ShipperNumSearch","https://oms-cec.ups.com/apis/list/order/detail/shipperNo","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_URL_ShipperNumSearch","Will be Transalted","No"
"","CustomLabel.CEC_OMS_URL_TokenGenerator","https://apigwydev2.ams1907.com/ups-ent/ests-ifd/V1/jwtapi/token","","","","","","","","","","","","","","","CustomLabel$CEC_OMS_URL_TokenGenerator","Will be Transalted","No"
"","CustomLabel.CEC_OmniAssignStatus","In Progress","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_OmniAssignSubStatus","Working","","","","","","","","","","","","","","","","Will be Transalted","No"
"","CustomLabel.CEC_OnlyOwnerCanEditGBSTower","You cannot update the GBS Tower value since you do not own the article. Please reach out to the owner of this article.","","","","","","","","","","","","","","","CustomLabel$CEC_OnlyOwnerCanEditGBSTower","Will be Transalted","No"
"","CustomLabel.CEC_Operator_ID","Operator ID","","","","","","","","","","","","","","","CustomLabel$CEC_Operator_ID","Will be Transalted","No"
"","CustomLabel.CEC_Org_Health_Checkup_Time","8","","","","","","","","","","","","","","","CustomLabel$CEC_Org_Health_Checkup_Time","Will be Transalted","No"
"案件无法关联当前联系人，请选择其他或者重新创建","CustomLabel.CEC_Orphaned_Contact_Error_Case","The current contact cannot be associated with this case. Please select another or create a new one.","O contato inserido não pode ser associado com este case. Por favor selecione outro ou crie um novo.","Den aktuelle kontakt kan ikke tilknyttes denne sag. Vælg en anden, eller opret en ny.","ผู้ติดต่อปัจจุบันไม่สามารถเชื่อมโยงกับเคสนี้ โปรดเลือกรายอื่น หรือสร้างใหม่","El contacto actual no puede ser asociado con este caso.  Por favor selecciona o crea uno nuevo","Den nåværende kontakten kan ikke assosieres med denne saken. Vennligst velg en annen eller opprett en ny.","Bieżący kontakt nie może być powiązany z tą sprawą. Wybierz inny lub utwórz nowy.","Liên lạc hiện tại không liên kết với trường hợp này. Vui lòng chọn một lựa chọn khác hoặc tạo mới.","O contacto actual não pode ser associado a este caso. Por favor seleccione outro ou crie um novo.","Le contact actuel ne peut être associé à cette requête. Veuillez sélectionner un autre contact ou en créer un nouveau.","Der ausgewählte Kontakt kann nicht mit diesem Vorgang verknüpft werden. Bitte wähle einen anderen aus oder erstelle einen Neuen.","El contacto actual no se puede asignar a este caso. Por favor selecciona otro o crea uno nuevo.","Le contact actuel ne peut être associé à cette requête. Veuillez sélectionner un autre contact ou en créer un nouveau.","Il contatto attuale non può essere associato a questo caso. Seleziona un altro contatto o creane uno nuovo","현재 연락처를 이 케이스에 연결할 수 없습니다. 다른 것을 선택하거나 새로 생성하십시오.","CustomLabel$CEC_Orphaned_Contact_Error_Case","Will be Transalted","No"
